departement;cp;commune;nb_redevables;patrimoine_moyen;impot_moyen
VAL-DE-MARNE                  ;94043;LE KREMLIN BICETRE                                ;60;2054406;7192
ESSONNE                       ;91691;YERRES                                            ;107;2053078;7041
HAUTS-DE-SEINE                ;92050;NANTERRE                                          ;217;2052877;6938
SAVOIE                        ;73008;AIX LES BAINS                                     ;186;2052010;6610
VAR                           ;83144;LA VALETTE                                        ;86;2049032;7457
HAUTES-PYRENEES               ;65440;TARBES                                            ;92;2047292;7312
YVELINES                      ;78586;SARTROUVILLE                                      ;146;2046022;6930
VAL-D'OISE                    ;95197;DEUIL LA BARRE                                    ;100;2042512;6980
BOUCHES-DU-RHONE              ;13103;SALON DE PROVENCE                                 ;143;2041014;6809
HAUTS-DE-SEINE                ;92032;FONTENAY AUX ROSES                                ;241;2040428;6633
HAUTE-GARONNE                 ;31149;COLOMIERS                                         ;92;2031998;5872
BOUCHES-DU-RHONE              ;13056;MARTIGUES                                         ;93;2029809;7216
SEINE-ET-MARNE                ;77108;CHELLES                                           ;122;2027236;7315
VAL-DE-MARNE                  ;94081;VITRY-SUR-SEINE                                   ;138;2023100;6770
VAL-DE-MARNE                  ;94002;ALFORTVILLE                                       ;66;2017101;7244
SEINE-SAINT-DENIS             ;93031;EPINAY SUR SEINE                                  ;57;2008666;6447
VAR                           ;83126;LA SEYNE SUR MER                                  ;146;2007082;6875
VAL-DE-MARNE                  ;94079;VILLIERS SUR MARNE                                ;73;2003023;7008
SEINE-SAINT-DENIS             ;93057;LES PAVILLONS SOUS BOIS                           ;84;2002058;7076
SEINE-SAINT-DENIS             ;93006;BAGNOLET                                          ;53;1987488;6081
ESSONNE                       ;91687;VIRY CHATILLON                                    ;52;1982824;6566
VAL-D'OISE                    ;95203;EAUBONNE                                          ;135;1977809;6447
ESSONNE                       ;91377;MASSY                                             ;76;1977630;6644
YVELINES                      ;78640;VELIZY-VILLACOUBLAY                               ;103;1971971;6082
YVELINES                      ;78423;MONTIGNY-LE-BRETONNEUX                            ;104;1965794;6096
YVELINES                      ;78208;ELANCOURT                                         ;59;1961992;6247
SEINE-SAINT-DENIS             ;93049;NEUILLY PLAISANCE                                 ;62;1945339;6208
VAL-D'OISE                    ;95219;ERMONT                                            ;95;1932315;5821
YVELINES                      ;78297;GUYANCOURT                                        ;56;1931793;5644
DOUBS                         ;25388;MONTBELIARD                                       ;56;1930443;6417
YVELINES                      ;78311;HOUILLES                                          ;135;1907247;5993
HAUTS-DE-SEINE                ;92007;BAGNEUX                                           ;60;1904990;5634
